total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_return,max_drawdown,sharpe_ratio,final_equity,strategy_name
4,2,2,0.5,3924.899813065881,21.68361814828836,181.00760612110764,7806.432389835185,0.07806432389835186,-1.000000352964973,-0.9190775109267344,-0.04196095089675511,趋势跟踪 (海龟)
1,0,1,0.0,0.0,10638.160611661,0.0,-10638.160611661,-0.10638160611661,-1.0471920772265213,-0.4800002417182795,-5780.6606116609855,123/2B 反转
1,1,0,1.0,7912.207730594152,0.0,inf,7912.207730594152,0.07912207730594152,-0.8723029226940584,-0.4805098727316854,12769.707730594168,支撑阻力
1,0,1,0.0,0.0,50058.05977285998,0.0,-50058.05977285998,-0.5005805977285999,-1.4069268081718505,-0.6222916018005638,-45200.55977285997,形态交易
1,0,1,0.0,0.0,24987.79710298064,0.0,-24987.79710298064,-0.24987797102980638,-1.1944072526033511,-0.5160119315194178,-20130.297102980625,均线交叉
4,3,1,0.75,888.086448649127,6.353913851185538,139.7699857833962,2657.9054320961955,0.026579054320961956,-1.0000374048681877,-0.9441883583182891,-3.7404868187758424,波动率突破
3,2,1,0.6666666666666666,1035.3985672700214,86.7681333333629,11.932935831315206,1984.02900120668,0.0198402900120668,-1.0005045558385544,-0.8347708325405808,-51.49504269450401,布林带
14,7,7,0.5,614.8196165224247,1.6786655753729935,366.2549739162989,4291.986656629363,0.04291986656629363,-1.0,-1.8300519205149062,-5.051380188518717e-15,RSI
1,0,1,0.0,0.0,26185.417685319204,0.0,-26185.417685319204,-0.261854176853192,-1.2086602507555986,-0.5210427290086647,-21327.91768531919,突破策略
